ระดับ,ชั้น,ภาคเรียนที่,รหัสวิชา,ชื่อวิชา,Code(English),Titles(English),หน่วยกิต,ประเภทวิชา,กลุ่มสาระ
มัธยมปลาย,ม.ปลาย,2,ศ30204,สีน้ำ สีโปสเตอร์,AR30204,Color watercolor poster,1,2,6
มัธยมปลาย,ม.5,0,ศ30205,วาดเส้น 3,AR30205,Drawing 3,1,3,6
มัธยมปลาย,ม.5,0,ศ30206,ทฤษฎีศิลป์,AR30206,Theory of Art,1,3,6
มัธยมปลาย,ม.5,0,ศ30207,ออกแบบ 1,AR30207,Design 1,1,3,6
มัธยมปลาย,ม.5,0,ศ30208,ออกแบบ 2,AR30208,Design 2,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30209,วาดเส้น 4,,Drawing 4,1,3,6
มัธยมปลาย,ม.6,0,ศ30210,ธุรกิจศิลป์,AR30210,,1,3,6
มัธยมปลาย,ม.6,0,ศ30211,ออกแบบกราฟิก,AR30211,Graphic Design,1,3,6
มัธยมปลาย,ม.6,0,ศ30212,ความถนัดทางศิลปะ,AR30212,Artistic aptitude,1,3,6
มัธยมปลาย,ม.ปลาย,1,ศ30213,ทฤษฎีดนตรีสากล 1,AR30213,Music Theory 1,1,3,6
มัธยมปลาย,ม.ปลาย,2,ศ30214,ทฤษฎีดนตรีสากล 2,AR30214,Music Theory 2,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30215,ขับร้องสากล 1,AR30215,Voice Training 1,1,3,6
มัธยมปลาย,ม.ปลาย,2,ศ30216,ขับร้องสากล 2,AR30216,Voice Training 2,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30217,ดนตรีสากล 3,AR30217,Music 3,1,3,6
มัธยมปลาย,ม.ปลาย,2,ศ30218,ดนตรีสากล 4,AR30218,Instruments Practicing 4,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30219,ขับร้องสากล 3,AR30219,Voice Training 3,1,3,6
มัธยมปลาย,ม.ปลาย,2,ศ30220,ขับร้องสากล 4,AR30220,Voice Training 4,1,3,6
มัธยมปลาย,ม.ปลาย,1,ศ30221,ดนตรีสากล 5,AR30221,Instruments Practicing 5,2,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30222,ดนตรีสร้างสรรค์,AR30222,Creative Music Technology,2,3,6
มัธยมปลาย,ม.ปลาย,1,ศ30225,ปฏิบัติดนตรีไทย 1,AR30225,Thai Instrument Performance 1,1,3,6
มัธยมปลาย,ม.ปลาย,2,ศ30226,ปฏิบัติดนตรีไทย 2,AR30226,Thai Instrument Performance 2,1,3,6
มัธยมปลาย,ม.ปลาย,1,ศ30227,ปฏิบัติดนตรีไทย 3,AR30227,Thai Instrument Performance 3,1,3,6
มัธยมปลาย,ม.ปลาย,2,ศ30228,ปฏิบัติดนตรีไทย 4,AR30228,Thai Instrument Performance 4,1,3,6
มัธยมปลาย,ม.ปลาย,1,ศ30229,ปฏิบัติดนตรีไทย 5,AR30229,Thai Instrument Performance 5,2,3,6
มัธยมปลาย,ม.ปลาย,2,ศ30230,ปฏิบัติดนตรีไทย 6,,Thai Instrument Performance 6,2,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30231,นาฏศิลป์ไทยเบื้องต้น 1,AR30231,Thai Folk and Classical Dance 1,2,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30232,นาฏศิลป์ไทยเบื้องต้น 2,AR30232,Thai Folk and Classical Dance 2,2,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30233,นาฏศิลป์ไทยอนุรักษ์ 1,AR30233,Thai Folk and Classical Dance 3,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30234,นาฏศิลป์ไทยอนุรักษ์ 2,AR30234,Thai Folk and Classical Dance 4,1,3,6
มัธยมปลาย,ม.ปลาย,1,ศ30235,ระบำมาตรฐาน 1,,Standard Classical Dance 1,2,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30236,ระบำมาตรฐาน 2,,Standard Classical Dance 2,2,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30237,ความถนัดทางนาฏศิลป์,,,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30238,ความรู้ทั่วไปด้านศิลปะ,AR30238,Basic Art,2,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30239,ความรู้ทั่วไปด้านสถาปัตยกรรม,AR30239,On Architectural Knowledge,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30240,การเขียนทัศนียภาพ,AR30228,Illustrated Design,1,3,6
มัธยมปลาย,ม.ปลาย,2,ศ30241,เส้นสถาปัตยกรรมและจินตนาการ,AR30241,Architecture and Imagination,2,3,6
มัธยมปลาย,ม.ปลาย,1,ศ30242,สเก็ตดีไซด์ 2 มิติ,AR30242,Sketch Design,2,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30243,โมเดล 3 มิติ,AR30243,3D Modeling,2,3,6
มัธยมปลาย,ม.ปลาย,1,ศ30244,ความรู้ความถนัดด้านดนตรีไทย,,,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30245,บรรเลงหมู่ดนตรีสากล 1,AR30245,Music Ensemble 1,1,3,6
มัธยมปลาย,ม.ปลาย,2,ศ30246,บรรเลงหมู่ดนตรีสากล 2,AR30246,Music Ensemble 2,1,3,6
มัธยมปลาย,ม.5,0,ศ30253,บรรเลงหมู่ดนตรีสากล 1,AR30253,Music Ensemble 1,1,3,6
มัธยมปลาย,ม.5,0,ศ30254,บรรเลงหมู่ดนตรีสากล 2,AR30254,Music Ensemble 2,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30255,บรรเลงหมู่ดนตรีไทย 1,AR30255,Thai Music Ensemble 1,1,3,6
มัธยมปลาย,ม.ปลาย,2,ศ30256,บรรเลงหมู่ดนตรีไทย 2,AR30256,Thai Music Ensemble 2,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30258,หลักการเขียนภาพเบื้องต้น,AR30223,Elementary Drawing,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30259,วาดภาพด้วยสีน้ำ,AR30225,Water Color,1,3,6
มัธยมปลาย,ม.5,0,ศ30261,บรรเลงหมู่ดนตรีไทย 1,AR30261,Thai Music Ensemble 1,1,3,6
มัธยมปลาย,ม.5,0,ศ30262,บรรเลงหมู่ดนตรีไทย 2,AR30262,Thai Music Ensemble 2,1,3,6
มัธยมปลาย,ม.5,0,ศ30264,สร้างภาพยนตร์ 2,AR30214,Movie Making 2,1,3,6
มัธยมปลาย,ม.5,0,ศ30267,นาฏศิลป์สากล 1,AR30267,International Dance 1,1,3,6
มัธยมปลาย,ม.4,0,ศ30269,ศิลปะการละคร 1,AR30269,Dramatics Art 1,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30271,นาฏยประดิษฐ์,AR30271,Choreography,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30272,ศิลปะการแต่งหน้า,AR30272,Make - Up Art,1,3,6
มัธยมปลาย,ม.4,0,ศ30273,ทฤษฎีสี,AR30213,Theory Of Color,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30274,วาดภาพคนเหมือนด้วยดินสอ,AR30224,Portrait Drawing Pencil,1,3,6
มัธยมปลาย,ม.5,0,ศ30275,ละครสากล,AR30275,Drama,1,3,6
มัธยมปลาย,ม.5,0,ศ30277,ภาพพิมพ์,AR30210,Printmaking,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30279,เขียนสีบนผลิตภัณฑ์,AR30229,Product Painting,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30280,คีย์บอร์ด 1,AR30280,Keyboard 1,1,3,6
มัธยมปลาย,ม.6,0,ศ30281,ศิลปะนิยม,AR30221,Art Appreciation,1,3,6
มัธยมปลาย,ม.6,0,ศ30282,สร้างภาพยนตร์ 1,AR30232,Movie Making 1,1,3,6
มัธยมปลาย,ม.5,0,ศ30283,วาดภาพด้วยสีโปสเตอร์,AR30226,Poster Color,1,3,6
มัธยมปลาย,ม.6,0,ศ30284,เทคโนโลยีดนตรี,AR30284,Music Technology,1,3,6
มัธยมปลาย,ม.5,0,ศ30285,วาดภาพด้วยคอมพิวเตอร์,AR30234,Digital Paint,1,3,6
มัธยมปลาย,ม.5,0,ศ30286,เขียนภาพทิวทัศน์,AR30227,Landscape Painting,1,3,6
มัธยมปลาย,ม.6,0,ศ30287,ทำผลิตภัณฑ์ด้วยกระดาษ,AR30237,Paper Productions,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30288,บรรเลงหมู่ดนตรีสากล 3,AR30288,Music Ensemble 3,1,3,6
มัธยมปลาย,ม.6,0,ศ30289,ทำผลิตภัณฑ์ด้วยกระดาษสา,AR30238,Mulberry Paper Products,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30290,พิมพ์ซิลค์สกรีน,AR30230,Silk - screen Process,1,3,6
มัธยมปลาย,ม.6,0,ศ30291,ภาพพิมพ์ 1,AR30211,Printmaking 1,1,3,6
มัธยมปลาย,ม.5,0,ศ30294,สร้างภาพเคลื่อนไหวด้วยคอมพิวเตอร์,AR30294,Computer Animation,1,3,6
มัธยมปลาย,ม.5,0,ศ30295,ออกแบบนิเทศศิลป์,AR30215,Art Communication Design,1,3,6
มัธยมปลาย,ม.4,0,ศ30296,ออกแบบประยุกต์ศิลป์,AR30216,Applied Art,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30297,ออกแบบผลิตภัณฑ์,AR30297,Product Design,1,3,6
มัธยมปลาย,ม.6,0,ศ30298,ศิลปะการตกแต่ง,AR30298,Decorative Art,1,3,6
มัธยมปลาย,ม.ปลาย,0,ศ30299,การเขียนภาพไทยและลายไทย,AR30299,Thai Classical Pattern Drawing,1,3,6
มัธยมปลาย,ม.4,1,ศ31101,ศิลปะพื้นฐาน 1,AR31101,Art 1,0.5,1,6
มัธยมปลาย,ม.4,2,ศ31102,ศิลปะพื้นฐาน 2,AR31102,Art 2,0.5,1,6
มัธยมปลาย,ม.4,1,ศ31111,ทัศนศิลป์ 1,AR31111,Visual Arts 1,0.5,1,6
มัธยมปลาย,ม.4,2,ศ31112,ทัศนศิลป์ 2,AR31112,Visual Arts 2,0.5,1,6
มัธยมปลาย,ม.4,0,ศ31121,ดนตรีและนาฏศิลป์ 1,AR31121,Music and Dramatics 1,0.5,1,6
มัธยมปลาย,ม.4,0,ศ31122,ดนตรีและนาฏศิลป์ 2,AR31122,Music and Dramatics 2,0.5,1,6
มัธยมปลาย,ม.5,1,ศ32101,ศิลปะพื้นฐาน 3,AR32101,Art 3,0.5,1,6
มัธยมปลาย,ม.5,2,ศ32102,ศิลปะพื้นฐาน 4,AR32102,Art 4,0.5,1,6
มัธยมปลาย,ม.5,1,ศ32111,ทัศนศิลป์ 3,AR32111,Visual Arts 3,0.5,1,6
มัธยมปลาย,ม.5,2,ศ32112,ทัศนศิลป์ 4,AR32112,Visual Arts 4,0.5,1,6
มัธยมปลาย,ม.5,0,ศ32121,ดนตรีและนาฏศิลป์ 3,AR32121,Music and Dramatics 3,0.5,1,6
มัธยมปลาย,ม.5,0,ศ32122,ดนตรีและนาฏศิลป์ 4,AR32122,Music and Dramatics 4,0.5,1,6
มัธยมปลาย,ม.6,1,ศ33101,ศิลปะพื้นฐาน 5,AR33101,Art 5,0.5,1,6
มัธยมปลาย,ม.6,2,ศ33102,ศิลปะพื้นฐาน 6,AR33102,Art 6,0.5,1,6
มัธยมปลาย,ม.6,1,ศ33111,ทัศนศิลป์ 5,AR33111,Visual Arts 5,0.5,1,6
มัธยมปลาย,ม.6,2,ศ33112,ทัศนศิลป์ 6,AR33112,Visual Arts 6,0.5,1,6
มัธยมปลาย,ม.ปลาย,1,ส30201,โลกแห่งความคิด,SO30201,World Of Idea,1,2,4
มัธยมปลาย,ม.ปลาย,2,ส30202,โลกาภิวัตน์ศึกษา,SO30202,Globalization Studies,1,2,4
มัธยมปลาย,ม.4,1,ส30203,ภูมิศาสตร์การท่องเที่ยว,SO30203,Tourism geography,0.5,2,4
มัธยมปลาย,ม.4,2,ส30204,วัฒนธรรมเพื่อการท่องเที่ยว,SO31206,Culture for tourism,0.5,2,4
มัธยมปลาย,ม.5,0,ส30205,กฏหมายเบื้องต้น,SO30205,primary law,1,2,4
มัธยมปลาย,ม.ปลาย,0,ส30209,พลวัตการเมืองการปกครองไทย,SO30209,Dynamic of Thai politics,1,3,4
มัธยมปลาย,ม.ปลาย,0,ส30211,การท่องเที่ยววิถีชุมชน,SO30211,Local Tourism,0.5,2,4
มัธยมปลาย,ม.ปลาย,0,ส30212,การท่องเที่ยววิถีไทย,SO30212,Thainess Tourism,0.5,2,4
มัธยมปลาย,ม.ปลาย,2,ส30231,หน้าที่พลเมือง 1,SO30231,Civil Duty 1,0.5,2,4
มัธยมปลาย,ม.ปลาย,2,ส30232,หน้าที่พลเมือง 2,SO30232,Civil Duty 2,0.5,2,4
มัธยมปลาย,ม.ปลาย,1,ส30233,หน้าที่พลเมือง 3,SO30233,Civil Duty 3,0.5,2,4
มัธยมปลาย,ม.ปลาย,2,ส30234,หน้าที่พลเมือง 4,SO30234,Civil Duty 4,0.5,2,4
มัธยมปลาย,ม.6,2,ส30262,สันติภาพกับโลกปัจจุบัน,SO30262,Peace and Current Affairs,1,3,4
มัธยมปลาย,ม.4,1,ส31101,หน้าที่พลเมือง 1,SO31101,Civic Duty 1,1,1,4
มัธยมปลาย,ม.4,2,ส31102,หน้าที่พลเมือง 2,SO31102,Civic Duty 2,1,1,4
มัธยมปลาย,ม.4,1,ส31103,ประวัติศาสตร์ไทย 1,SO31103,Thai History 1,0.5,1,4
มัธยมปลาย,ม.4,2,ส31104,ประวัติศาสตร์ไทย 2,SO31104,Thai History 2,0.5,1,4
มัธยมปลาย,ม.4,1,ส31105,พระพุทธศาสนา 1,SO31105,Buddhism 1,0.5,1,4
มัธยมปลาย,ม.4,2,ส31106,พระพุทธศาสนา 2,SO31106,Buddhism 2,0.5,1,4
มัธยมปลาย,ม.4,1,ส31111,พระพุทธศาสนา 1,SO31111,Buddhism 1,0.5,1,4
มัธยมปลาย,ม.4,2,ส31112,พระพุทธศาสนา 2,SO31112,Buddhism 2,0.5,1,4
มัธยมปลาย,ม.4,1,ส31121,ประวัติศาสตร์ 1,SO31121,History 1,0.5,1,4
มัธยมปลาย,ม.4,2,ส31122,ประวัติศาสตร์ 2,SO31122,History 2,0.5,1,4
มัธยมปลาย,ม.4,1,ส31201,กฎหมายแพ่งและพาณิชย์,SO31201,Civil and Commercial Law,1,3,4
มัธยมปลาย,ม.4,2,ส31202,กฎหมายแพ่งและพาณิชย์ 2,SO31202,Civil and Commercial Law II,1,3,4
มัธยมปลาย,ม.4,1,ส31203,รัฐศาสตร์เบื้องต้น,SO31203,Political Science,1,3,4
มัธยมปลาย,ม.4,2,ส31204,ประวัติศาสตร์การเมืองไทย,SO31204,Thai political history,1,3,4
มัธยมปลาย,ม.4,2,ส31221,การศึกษาเพื่อพัฒนาพลเมือง,SO31221,Civic Education for Thai Society,1,2,4
มัธยมปลาย,ม.4,1,ส31232,กฎหมายกับเยาวชนไทย,SO31232,Laws for Teenagers,1,2,4
มัธยมปลาย,ม.4,0,ส31262,วิถีไทยภูมิปัญญาไทย,SO31262,Traditional Thai Life,1,2,4
มัธยมปลาย,ม.5,1,ส32101,ภูมิศาสตร์,SO32101,Geography,1,1,4
มัธยมปลาย,ม.5,2,ส32102,เศรษฐศาสตร์,SO32102,Economics,1,1,4
มัธยมปลาย,ม.5,1,ส32103,พระพุทธศาสนา 1,SO32103,Buddhism 1,0.5,1,4
มัธยมปลาย,ม.5,2,ส32104,พระพุทธศาสนา 1,SO32104,Buddhism 1,0.5,1,4
มัธยมปลาย,ม.5,1,ส32105,พระพุทธศาสนา 3,SO32105,Buddhism 3,0.5,1,4
มัธยมปลาย,ม.5,2,ส32106,พระพุทธศาสนา 3,SO32106,Buddhism 3,0.5,1,4
มัธยมปลาย,ม.5,1,ส32111,พระพุทธศาสนา 3,SO32111,Buddhism 3,0.5,1,4
มัธยมปลาย,ม.5,2,ส32112,พระพุทธศาสนา 4,SO32112,Buddhism 4,0.5,1,4
มัธยมปลาย,ม.5,1,ส32121,ประวัติศาสตร์ 3,SO32121,History 3,0.5,1,4
มัธยมปลาย,ม.5,2,ส32122,ประวัติศาสตร์ 4,SO32122,History 4,0.5,1,4
มัธยมปลาย,ม.5,1,ส32201,กฎหมายอาญา 1,SO32201,Criminal Law I,1,3,4
มัธยมปลาย,ม.5,2,ส32202,พระพุทธศาสนา 4,SO32202,Buddhism 4,1,2,4
มัธยมปลาย,ม.5,1,ส32203,ความสัมพันธ์ระหว่างประเทศ,SO32203,International Relations,1,3,4
มัธยมปลาย,ม.5,0,ส32204,การเมืองระหว่างประเทศ,SO32204,International Politics,1,2,4
มัธยมปลาย,ม.5,1,ส32205,แหล่งท่องเที่ยวทางประวัติศาสตร์ไทย,SO32205,Thai Historical Attractions,0.5,2,4
มัธยมปลาย,ม.5,2,ส32206,แหล่งมรดกโลก,SO32206,World Heritage Site,0.5,2,4
มัธยมปลาย,ม.5,0,ส32210,เสวนาธรรม,SO32210,Seminar in Buddhism,1,2,4
มัธยมปลาย,ม.5,2,ส32221,การเรียนรู้เพื่อพัฒนาทักษะการคิด,SO32221,Learning for Develop Thinking Skills,1,2,4
มัธยมปลาย,ม.5,0,ส32263,ย้อนเวลาหาอดีต,SO32263,Ancient History,1,2,4
มัธยมปลาย,ม.5,0,ส32264,เหตุการณ์ปัจจุบัน,SO32264,Major Issues in Contemporary World Society,1,2,4
มัธยมปลาย,ม.6,1,ส33101,สังคมศึกษา 1,SO33101,Social Studies 1,1,1,4
มัธยมปลาย,ม.6,2,ส33102,สังคมศึกษา 6,SO33102,Social Studies 6,1,1,4
มัธยมปลาย,ม.6,1,ส33103,พระพุทธศาสนา 5,SO33103,Buddhism 5,0.5,1,4
มัธยมปลาย,ม.6,2,ส33104,พระพุทธศาสนา 6,SO33104,Buddhism 6,0.5,1,4
มัธยมปลาย,ม.6,1,ส33111,พระพุทธศาสนา 5,SO33111,Buddhism 5,0.5,1,4
มัธยมปลาย,ม.6,2,ส33112,พระพุทธศาสนา 6,SO33112,Buddhism 6,0.5,1,4
มัธยมปลาย,ม.6,1,ส33201,เหตุการณ์ปัจจุบัน,SO33201,Contemporary Affairs,1,2,4
มัธยมปลาย,ม.6,2,ส33202,ศาสนศึกษา,SO33202,Religious Studies,0.5,2,4
มัธยมปลาย,ม.6,2,ส33211,พุทธธรรม,SO33211,Buddhist Teaching,1,2,4
มัธยมปลาย,ม.6,2,ส33221,ทักษะชีวิตและสังคม,SO33221,Life Skills and Society,1,2,4
มัธยมปลาย,ม.6,1,ส33265,โครงงานประวัติศาสตร์,SO33265,History Project,0.5,2,4
มัธยมปลาย,ม.6,1,ส33283,การอนุรักษ์สิ่งแวดล้อม,SO33283,Conservation Of Energy And Environment,1,2,4
มัธยมปลาย,ม.ปลาย,0,อ30201,ไวยากรณ์อังกฤษขั้นพื้นฐาน,EN30201,Elementary English Grammar,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30202,ไวยากรณ์อังกฤษขั้นสูง,EN30202,Advanced English Grammar,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30203,ภาษาศาสตร์เบื้องต้น 1,EN30203,Introduction to Linguistics 1,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30204,ภาษาศาสตร์เบื้องต้น 2,EN30204,Introduction to Linguistics 2,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30205,การพูดในที่สาธารณะขั้นพื้นฐาน,EN30205,Introduction to Public Speaking,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30206,การพูดในที่สาธารณะขั้นสูง,EN30206,Advanced Public Speaking,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30207,การเขียนเชิงสร้างสรรค์,EN30207,Creative Writing,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30208,วาทวิทยาและสื่อสารการแสดง,EN30208,Speech and Stage Arts,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30209,วรรณคดีอังกฤษ 1,EN30209,Literature 1,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30210,วรรณคดีอังกฤษ 2,EN30210,Literature 2,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30211,พัฒนาทักษะการอ่าน 1,EN30211,Developmental Reading 1,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30212,พัฒนาทักษะการอ่าน 2,EN30212,Developmental Reading 2,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30213,การเขียนเรียงความภาษาอังกฤษ 1,EN30213,Writing Composition 1,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30214,การเขียนเรียงความภาษาอังกฤษ 2,EN30214,Writing Composition 2,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30215,การเขียนทางวิชาการ,EN30215,Academic Writing,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30216,การเขียนภาษาอังกฤษเทคนิค,EN30216,Technical Writing,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30217,วารสารศาสตร์ 1,EN30217,Journalism 1,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30218,วารสารศาสตร์ 2,en30218,Journalism 2,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ30219,ภาษาอังกฤษธุรกิจ,EN30219,Business English,1,2,8
มัธยมปลาย,ม.ปลาย,2,อ30250,กลยุทธ์การอ่าน 2,EN30250,Reading strategy 2,1,2,8
มัธยมปลาย,ม.6,1,อ30253,ภาษาอังกฤษในสื่อบันเทิง,EN30253,Edutainment English,1,3,8
มัธยมปลาย,ม.ปลาย,1,อ30254,กลยุทธ์การอ่าน 1,EN30254,Reading strategy 1,1,2,8
มัธยมปลาย,ม.ปลาย,1,อ30283,อังกฤษการอ่านฉับพลัน,EN30283,English reading abrupt,1,2,8
มัธยมปลาย,ม.4,1,อ31101,ภาษาอังกฤษ 1,EN31101,English 1,1,1,8
มัธยมปลาย,ม.4,2,อ31102,ภาษาอังกฤษ 2,EN31102,English 1,1,1,8
มัธยมปลาย,ม.4,1,อ31103,ภาษาอังกฤษ,EN31103,English,1.5,1,8
มัธยมปลาย,ม.4,2,อ31104,ภาษาอังกฤษ,EN31104,English,1.5,1,8
มัธยมปลาย,ม.4,1,อ31201,ภาษาอังกฤษเพื่ออุตสาหกรรมการท่องเที่ยว 1,EN31201,English for Tourism Industry 1,1,2,8
มัธยมปลาย,ม.4,0,อ31202,ภาษาอังกฤษเพื่ออุตสาหกรรมการท่องเที่ยว 2,EN31202,English for Tourism Industry 2,0.5,2,8
มัธยมปลาย,ม.4,1,อ31203,ภาษาอังกฤษอ่าน-เขียน 1,EN31203,English Reading - Writing 1,1,2,8
มัธยมปลาย,ม.4,2,อ31204,ภาษาอังกฤษอ่าน-เขียน 2,EN31204,English Reading - Writing 2,1,2,8
มัธยมปลาย,ม.4,1,อ31205,ภาษาอังกฤษเพื่อวิทยาการ 1,EN31205,Tactical English Reading 1,1,2,8
มัธยมปลาย,ม.4,2,อ31206,ภาษาอังกฤษเพื่อวิทยาการ 2,EN31206,Tactical English Reading 2,1,2,8
มัธยมปลาย,ม.4,1,อ31207,ภาษาอังกฤษในชีวิตประจำวัน 1,EN31207,Everyday English 1,0.5,2,8
มัธยมปลาย,ม.4,2,อ31208,ภาษาอังกฤษในชีวิตประจำวัน 2,EN31208,Everyday english 2,0.5,2,8
มัธยมปลาย,ม.ปลาย,0,อ31209,ภาษาอังกฤษเพื่อการเรียนรู้วัฒนธรรม,EN31209,English for Culture Learning,0.5,2,8
มัธยมปลาย,ม.4,0,อ31210,ภาษาอังกฤษเพื่อการเรียนรู้วัฒนธรรม 2,EN31210,Thai language for learning culture 2,1,3,8
มัธยมปลาย,ม.4,1,อ31211,ภาษาอังกฤษเพื่อนวัตกร,EN31211,,0.5,2,8
มัธยมปลาย,ม.4,2,อ31212,ภาษาอังกฤษเพื่อนวัตกร,EN31212,,0.5,2,8
มัธยมปลาย,ม.4,1,อ31221,การพูดภาษาอังกฤษในที่สาธารณะ 1,EN31221,Public English Speaking 1,1,2,8
มัธยมปลาย,ม.4,2,อ31222,การพูดภาษาอังกฤษในที่สาธารณะ 2,EN31222,Public English Speaking 2,1,2,8
มัธยมปลาย,ม.4,1,อ31231,การอ่านภาษาอังกฤษอย่างยุทธวิธี 1,EN312,Tactical English Reading 1,1,2,8
มัธยมปลาย,ม.4,2,อ31232,การอ่านภาษาอังกฤษอย่างยุทธวิถี 2,EN31232,Tactical English Reading 2,1,2,8
มัธยมปลาย,ม.4,1,อ31241,การเขียนอนุเฉทภาษาอังกฤษ 1,EN31241,Writing an English petty 1,1,2,8
มัธยมปลาย,ม.4,2,อ31242,การเขียนอนุเฉทภาษาอังกฤษ 2,EN31242,Writing an English petty 2,1,2,8
มัธยมปลาย,ม.4,2,อ31252,พัฒนาคำศัพท์ภาษาอังกฤษ 2,EN31252,Vocabulary Enrichment 2,0.5,2,8
มัธยมปลาย,ม.4,1,อ31261,ภาษาอังกฤษบูรณาการ,EN31261,English language integration,1.5,2,8
มัธยมปลาย,ม.ปลาย,0,อ31263,ไวยากรณ์ภาษาอังกฤษ 1,EN31261,Elementary English Grammar 1,1,2,8
มัธยมปลาย,ม.ปลาย,0,อ31269,วรรณกรรมและเรื่องสั้นเบื้องต้น,EN31269,Introduction to Anecdotes and Shot Stories,1,2,8
มัธยมปลาย,ม.4,2,อ31282,วรรณกรรมภาษาอังกฤษเบื้องต้น,EN31282,Elementary english literature,1,2,8
มัธยมปลาย,ม.5,1,อ32101,ภาษาอังกฤษ 3,EN32101,English 3,1,1,8
มัธยมปลาย,ม.5,2,อ32102,ภาษาอังกฤษ 4,EN32102,English 4,1,1,8
มัธยมปลาย,ม.5,1,อ32103,ภาษาอังกฤษ,EN32103,English,1.5,1,8
มัธยมปลาย,ม.5,2,อ32104,ภาษาอังกฤษ,EN32104,English,1.5,1,8
มัธยมปลาย,ม.5,1,อ32201,ภาษาอังกฤษเพื่ออุตสาหกรรมท่องเที่ยว 3,EN32201,English for Tourism Industry 3,1,2,8
มัธยมปลาย,ม.5,2,อ32202,ภาษาอังกฤษเพื่ออุตสาหกรรมท่องเที่ยว 4,EN32202,English for Tourism Industry 4,1,2,8
มัธยมปลาย,ม.5,1,อ32203,ภาษาอังกฤษอ่าน-เขียน 3,EN32203,English reading-writting 3,1,2,8
มัธยมปลาย,ม.5,2,อ32204,ภาษาอังกฤษอ่าน-เขียน 4,EN32204,English reading-writting 4,1,2,8
มัธยมปลาย,ม.5,1,อ32205,ภาษาอังกฤษเพื่อการสื่อสาร 1,EN32205,English for Communication 1,1,3,8
มัธยมปลาย,ม.5,2,อ32206,ภาษาอังกฤษเพื่อการสื่อสาร 2,EN32206,English for communication 2,1,3,8
มัธยมปลาย,ม.5,1,อ32207,ภาษาอังกฤษเพื่อวิทยาการ 3,EN32207,English for Science 3,1,2,8
มัธยมปลาย,ม.5,2,อ32208,ภาษาอังกฤษเพื่อวิทยาการ 4,EN32208,English for Science 4,1,2,8
มัธยมปลาย,ม.5,1,อ32209,ภาษาอังกฤษในชีวิตประจำวัน 3,EN32209,English in Everyday Life 3,0.5,2,8
มัธยมปลาย,ม.5,2,อ32210,ภาษาอังกฤษในชีวิตประจำวัน 4,EN32210,English in everyday life 4,0.5,2,8
มัธยมปลาย,ม.5,1,อ32211,ความถนัดภาษาอังกฤษ 1,EN32211,English language aptitude,0.5,2,8
มัธยมปลาย,ม.5,2,อ32212,ความถนัดภาษาอังกฤษ 2,EN32212,English language aptitude,1,2,8
